layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
摔怀怀瀀搀怀戀渀,door,50,38.5,566,0,0,,0,0,,30,0,453,16,97,20,0,0.8,0.028,0,0,0,0
词逡さ狍羴,door,50,38.5,7,0,0,,0,0,,30,0,3,0,4,20,0,0.429,0.0,0,0,0,0
0,door,40,30.8,20122,0,0,,30,30,_DDPartial_Draft$0$BS_revolving_Door_07072017$0$A$C3499|A-104_Ground Floor Plan$0$WINDOW 0.7|A-104_Ground Floor Plan$0$doortag,10,0,1286,3036,12863,0,0,0.064,0.151,0,0,0,0
A-104_Ground Floor Plan$0$AR-DOOR,door,40,30.8,0,40,0,DOOR,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$TKC,window,40,30.8,6,0,0,,0,0,,0,20,0,6,0,0,20,0.0,1.0,0,0,0,0
A-104_Ground Floor Plan$0$HACTH,window,40,30.8,1,0,0,,0,0,,0,20,0,1,0,0,20,0.0,1.0,0,0,0,0
A-104_Ground Floor Plan$0$0-OST,window,40,30.8,1,0,0,,0,0,,0,20,0,1,0,0,20,0.0,1.0,0,0,0,0
词逛さ狍羴,window,40,30.8,8,0,0,,0,0,,0,20,0,8,0,0,20,0.0,1.0,0,0,0,0
20082017_Podium_inner_Facade$0$T_ACHSEN_BEFESTIGUNGSMITTEL,window,40,30.8,2,0,0,,0,0,,0,20,0,2,0,0,20,0.0,1.0,0,0,0,0
20082017_Podium_inner_Facade$0$GLASS_SG,window,40,30.8,4,0,0,,0,0,,0,20,0,4,0,0,20,0.0,1.0,0,0,0,0
Y聂悆,window,40,30.8,1,0,0,,0,0,,0,20,0,1,0,0,20,0.0,1.0,0,0,0,0
8蘺晠鏅,window,40,30.8,4,0,0,,0,0,,0,20,0,4,0,0,20,0.0,1.0,0,0,0,0
蘀頀舀蠀蠀鈀鰀踀,window,40,30.8,171,0,0,,0,0,,0,20,0,171,0,0,20,0.0,1.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_DOOR,door,38,29.2,0,38,0,A_DOOR,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_DOOR_HID,door,38,29.2,0,38,0,A_DOOR,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
摘怀怀瀀搀怀戀渀,window,32,24.6,10,0,0,,0,0,,0,20,0,6,4,0,12,0.0,0.6,0,0,0,0
摒怀怀瀀搀怀戀渀,door,22,16.9,6429,0,0,,0,0,,18,0,967,18,5443,4,0,0.15,0.003,0,0,0,0
摞怀怀瀀搀怀戀渀,uncertain,13,10.0,9,0,0,,0,0,,0,13,0,3,6,0,0,0.0,0.333,0,0,0,0
_Podium_inner_Facade$0$S13_Z,uncertain,13,10.0,12,0,0,,0,0,,0,13,0,4,8,0,0,0.0,0.333,0,0,0,0
耄耊怊耊,door,7,5.4,31,0,0,,0,0,,7,0,1,8,22,0,0,0.032,0.258,0,0,0,0
摐怀怀瀀搀怀戀渀,uncertain,3,2.3,81,0,0,,0,0,,0,3,0,7,74,0,0,0.0,0.086,0,0,0,0
.蘺晠亿,uncertain,2,1.5,132,0,0,,0,0,,0,2,0,8,124,0,0,0.0,0.061,0,0,0,0
A-104_Ground Floor Plan$0$DIM,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
蘀頀舀蠀蠀鈀鰀踀吁,uncertain,0,0.0,1,0,0,,0,0,,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
鈀鰀踀踀$,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
S蚹晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
